x,y,freshwater_hci,popden2010,maxRDD,meanUSE,maxDOF,minCSI,maxSED
-37.625,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-37.375,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-37.125,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-36.875,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-36.625,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-36.375,82.625,1.0,,1.0,1.0,1.0,1.0,1.0
-36.125,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-35.875,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-35.625,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-35.375,82.625,1.0,,1.0,1.0,1.0,1.0,1.0
-35.125,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-34.875,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-34.625,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-34.375,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-34.125,82.625,1.0,,1.0,1.0,1.0,1.0,1.0
-33.875,82.625,1.0,,1.0,1.0,1.0,1.0,1.0
-33.625,82.625,1.0,,1.0,1.0,1.0,1.0,1.0
-33.375,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-33.125,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-32.875,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-32.625,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-32.375,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-32.125,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-31.875,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-31.625,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-31.375,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-31.125,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-30.875,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-30.625,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-30.375,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-30.125,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-29.875,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-29.625,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-29.375,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-29.125,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-28.875,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-28.625,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-28.375,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-28.125,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-27.875,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-27.625,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-27.375,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-27.125,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-26.875,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-26.625,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-26.375,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-26.125,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-25.875,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-25.625,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-25.375,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-25.125,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-24.875,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-24.625,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-24.375,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-24.125,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-23.875,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-23.625,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-23.375,82.625,1.0,1.0,,,,,
-23.125,82.625,1.0,1.0,,,,,
-22.875,82.625,1.0,1.0,,,,,
-22.625,82.625,1.0,1.0,,,,,
-22.375,82.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-86.125,82.375,,,1.0,1.0,1.0,1.0,1.0
-85.875,82.375,,,1.0,1.0,1.0,1.0,1.0
-85.625,82.375,,,1.0,1.0,1.0,1.0,1.0
-85.375,82.375,,,1.0,1.0,1.0,1.0,1.0
-85.125,82.375,1.0,,1.0,1.0,1.0,1.0,1.0
-84.875,82.375,,,1.0,1.0,1.0,1.0,1.0
